Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,27,119,137,21,3,28,1,,0,0.7083333333,0,0.9,0.9761904762,0.9642857143
"Values/outdoor_s1_1(1,4,self)",11,11,0,0,55,55,0,0,,0.1666666667,0.1666666667,1,0.1666666667,0.1666666667,1
"Values/outdoor_s1_2 (1,2,4,self)",55,44,65,43,73,95,83,94,,0.4296875,0.4347826087,0.3985507246,0.3165467626,0.3152173913,0.3188405797
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",30,21,84,45,0,39,12,21,,1,0.9047619048,0.7142857143,0.35,0.5238095238,0.5
"Values/outdoor_s2_2(1,2,self)",47,39,0,0,0,0,38,46,,1,0.5529411765,0.5529411765,1,0.4588235294,0.4588235294
"Values/outdoor_s2_1(1,2,self)",94,92,0,0,0,0,11,13,,1,0.8952380952,0.8952380952,1,0.8761904762,0.8761904762
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",85,44,19,122,185,82,17,58,,0.3148148148,0.339869281,0.8333333333,0.3492063492,0.5424836601,0.431372549
,,,,,,,,,,,,,0.5832028255,0.5513402462,0.6499304069
