Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",2,22,164,170,26,20,36,16,,0.07142857142857142,0.7280701754385965,0.05263157894736842,0.5238095238095238,0.8421052631578947,0.5789473684210527
"Values/outdoor_s1_1(1,4,self)",15,19,12,0,93,105,6,2,,0.1388888888888889,0.21428571428571427,0.7142857142857143,0.1532258064516129,0.15079365079365079,0.9047619047619048
"Values/outdoor_s1_2 (1,2,4,self)",69,41,77,83,91,85,99,127,,0.43125,0.43452380952380953,0.4107142857142857,0.3253968253968254,0.36904761904761907,0.24404761904761904
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",46,20,112,88,12,36,16,42,,0.7931034482758621,0.8494623655913979,0.7419354838709677,0.35714285714285715,0.5806451612903226,0.3225806451612903
"Values/outdoor_s2_2(1,2,self)",59,45,0,0,0,0,36,50,,1.0,0.6210526315789474,0.6210526315789474,1.0,0.47368421052631576,0.47368421052631576
"Values/outdoor_s2_1(1,2,self)",94,95,0,0,0,0,21,20,,1.0,0.8173913043478261,0.8173913043478261,1.0,0.8260869565217391,0.8260869565217391
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",87,48,49,133,195,111,35,74,,0.30851063829787234,0.37158469945355194,0.7131147540983607,0.3018867924528302,0.49453551912568305,0.39344262295081966
