Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,22,172,170,18,20,38,16,,0.0,0.7543859649122807,0.0,0.5238095238095238,0.8421052631578947,0.5789473684210527
"Values/outdoor_s1_1(1,4,self)",15,19,13,0,92,105,6,2,,0.14018691588785046,0.2222222222222222,0.7142857142857143,0.1532258064516129,0.15079365079365079,0.9047619047619048
"Values/outdoor_s1_2 (1,2,4,self)",63,41,84,83,84,85,105,127,,0.42857142857142855,0.4375,0.375,0.3253968253968254,0.36904761904761907,0.24404761904761904
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",43,20,114,88,10,36,19,42,,0.8113207547169812,0.8440860215053764,0.6935483870967742,0.35714285714285715,0.5806451612903226,0.3225806451612903
"Values/outdoor_s2_2(1,2,self)",56,45,0,0,0,0,39,50,,1.0,0.5894736842105263,0.5894736842105263,1.0,0.47368421052631576,0.47368421052631576
"Values/outdoor_s2_1(1,2,self)",91,95,0,0,0,0,24,20,,1.0,0.7913043478260869,0.7913043478260869,1.0,0.8260869565217391,0.8260869565217391
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",80,48,55,133,189,111,42,74,,0.29739776951672864,0.36885245901639346,0.6557377049180327,0.3018867924528302,0.49453551912568305,0.39344262295081966
