Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,17,136,140,4,0,28,11,,0.0,0.8095238095238095,0.0,1.0,0.9345238095238095,0.6071428571428571
"Values/outdoor_s1_1(1,4,self)",11,11,0,0,55,55,0,0,,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,1.0
"Values/outdoor_s1_2 (1,2,4,self)",46,33,75,67,63,71,92,105,,0.42201834862385323,0.4384057971014493,0.3333333333333333,0.3173076923076923,0.36231884057971014,0.2391304347826087
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",28,13,84,56,0,28,14,29,,1.0,0.8888888888888888,0.6666666666666666,0.3170731707317073,0.5476190476190477,0.30952380952380953
"Values/outdoor_s2_2(1,2,self)",37,29,0,0,0,0,48,56,,1.0,0.43529411764705883,0.43529411764705883,1.0,0.3411764705882353,0.3411764705882353
"Values/outdoor_s2_1(1,2,self)",88,87,0,0,0,0,17,18,,1.0,0.8380952380952381,0.8380952380952381,1.0,0.8285714285714286,0.8285714285714286
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",73,40,26,137,178,67,29,62,,0.2908366533864542,0.3235294117647059,0.7156862745098039,0.37383177570093457,0.5784313725490197,0.39215686274509803
