"Outputs/lab_s1_1(1,2,3,4,self);(1,4),(2,3)ws-30_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,51.0,51.0,16.0,36.0,15.0,26.0,0.0,19.0
2,16.0,36.0,51.0,51.0,24.0,35.0,9.0,33.0
3,15.0,26.0,24.0,35.0,51.0,51.0,7.0,47.0
4,0.0,19.0,9.0,33.0,7.0,47.0,51.0,51.0
