"Outputs/lab_s1_1(1,2,3,4,self);(1,4),(2,3)ws-20_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,61.0,61.0,21.0,43.0,22.0,26.0,2.0,21.0
2,21.0,43.0,61.0,61.0,28.0,38.0,4.0,37.0
3,22.0,26.0,28.0,38.0,61.0,61.0,8.0,49.0
4,2.0,21.0,4.0,37.0,8.0,49.0,61.0,61.0
