"Outputs/lab_s1_1(1,2,3,4,self);(1,4),(2,3)ws-40_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,41.0,41.0,15.0,34.0,10.0,21.0,0.0,19.0
2,15.0,34.0,41.0,41.0,13.0,41.0,8.0,41.0
3,10.0,21.0,13.0,41.0,41.0,41.0,5.0,41.0
4,0.0,19.0,8.0,41.0,5.0,41.0,41.0,41.0
