"Outputs/lab_s1_1(1,2,3,4,self);(1,4),(2,3)ws-10_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,71.0,71.0,16.0,43.0,16.0,36.0,2.0,32.0
2,16.0,43.0,71.0,71.0,17.0,41.0,0.0,37.0
3,16.0,36.0,17.0,41.0,71.0,71.0,2.0,38.0
4,2.0,32.0,0.0,37.0,2.0,38.0,71.0,71.0
