Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,7,205,212,35,28,48,41,,0,0.7118055556,0,0.2,0.7604166667,0.1458333333
"Values/outdoor_s1_1(1,4,self)",18,17,41,43,114,112,13,14,,0.1363636364,0.3172043011,0.5806451613,0.1317829457,0.3225806452,0.5483870968
"Values/outdoor_s1_2 (1,2,4,self)",89,9,99,160,99,38,109,189,,0.4734042553,0.4747474747,0.4494949495,0.1914893617,0.4267676768,0.0454545455
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",43,8,140,146,24,18,39,74,,0.6417910448,0.743902439,0.5243902439,0.3076923077,0.6260162602,0.0975609756
"Values/outdoor_s2_2(1,2,self)",60,41,0,0,0,0,45,64,,1,0.5714285714,0.5714285714,1,0.3904761905,0.3904761905
"Values/outdoor_s2_1(1,2,self)",86,74,0,0,0,0,39,51,,1,0.688,0.688,1,0.592,0.592
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",84,36,91,207,193,77,58,106,,0.3032490975,0.4107981221,0.5915492958,0.3185840708,0.5704225352,0.2535211268
,,,,,,,,,,0.5078297191,0.5596980663,0.4865011746,0.4499355266,0.5269542821,0.2961761812
