Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",2,17,164,174,26,16,36,21,,0.0714285714,0.7280701754,0.0526315789,0.5151515152,0.8377192982,0.4473684211
"Values/outdoor_s1_1(1,4,self)",15,17,12,0,93,105,6,4,,0.1388888889,0.2142857143,0.7142857143,0.1393442623,0.1349206349,0.8095238095
"Values/outdoor_s1_2 (1,2,4,self)",69,33,77,95,91,73,99,135,,0.43125,0.4345238095,0.4107142857,0.3113207547,0.380952381,0.1964285714
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",46,18,112,104,12,20,16,44,,0.7931034483,0.8494623656,0.7419354839,0.4736842105,0.6559139785,0.2903225806
"Values/outdoor_s2_2(1,2,self)",59,39,0,0,0,0,36,56,,1,0.6210526316,0.6210526316,1,0.4105263158,0.4105263158
"Values/outdoor_s2_1(1,2,self)",94,93,0,0,0,0,21,22,,1,0.8173913043,0.8173913043,1,0.8086956522,0.8086956522
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",87,44,49,146,195,98,35,78,,0.3085106383,0.3715846995,0.7131147541,0.3098591549,0.5191256831,0.3606557377
,,,,,,,,,,,,,,0.5354077062,0.4747887269
