Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,28,119,130,21,10,28,0,,0,0.7083333333,0,0.7368421053,0.9404761905,1
"Values/outdoor_s1_1(1,4,self)",11,11,0,0,55,55,0,0,,0.1666666667,0.1666666667,1,0.1666666667,0.1666666667,1
"Values/outdoor_s1_2 (1,2,4,self)",55,59,65,39,73,99,83,79,,0.4296875,0.4347826087,0.3985507246,0.3734177215,0.3550724638,0.4275362319
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",30,21,84,43,0,41,12,21,,1,0.9047619048,0.7142857143,0.3387096774,0.5079365079,0.5
"Values/outdoor_s2_2(1,2,self)",47,49,0,0,0,0,38,36,,1,0.5529411765,0.5529411765,1,0.5764705882,0.5764705882
"Values/outdoor_s2_1(1,2,self)",94,94,0,0,0,0,11,11,,1,0.8952380952,0.8952380952,1,0.8952380952,0.8952380952
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",85,47,19,111,185,93,17,55,,0.3148148148,0.339869281,0.8333333333,0.3357142857,0.5163398693,0.4607843137
,,,,,,,,,,0.5587384259,0.5717990095,0.6277641491,0.5644786367,0.5654571974,0.6942898899
