Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,2,140,140,0,0,28,26,,1,0.8333333333333334,0.0,1.0,0.8452380952380952,0.07142857142857142
"Values/outdoor_s1_1(1,4,self)",11,11,4,0,51,55,0,0,,0.1774193548387097,0.22727272727272727,1.0,0.16666666666666666,0.16666666666666666,1.0
"Values/outdoor_s1_2 (1,2,4,self)",39,23,81,87,57,51,99,115,,0.40625,0.43478260869565216,0.2826086956521739,0.3108108108108108,0.39855072463768115,0.16666666666666666
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",25,11,84,79,0,5,17,31,,1.0,0.8650793650793651,0.5952380952380952,0.6875,0.7142857142857143,0.2619047619047619
"Values/outdoor_s2_2(1,2,self)",30,24,0,0,0,0,55,61,,1.0,0.35294117647058826,0.35294117647058826,1.0,0.2823529411764706,0.2823529411764706
"Values/outdoor_s2_1(1,2,self)",76,84,0,0,0,0,29,21,,1.0,0.7238095238095238,0.7238095238095238,1.0,0.8,0.8
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",54,25,62,146,142,58,48,77,,0.2755102040816326,0.3790849673202614,0.5294117647058824,0.30120481927710846,0.5588235294117647,0.24509803921568626
