Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y
"Values/lab_s1_1(2,3,self)",0,2,90,90,0,0,18,16
"Values/outdoor_s1_1(1,4,self)",1,1,0,0,5,5,0,0
"Values/outdoor_s1_2 (1,2,4,self)",26,25,52,58,56,50,82,83
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",11,3,44,35,0,9,11,19
"Values/outdoor_s2_2(1,2,self)",19,7,0,0,0,0,56,68
"Values/outdoor_s2_1(1,2,self)",85,77,0,0,0,0,10,18
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",67,19,14,117,150,47,15,63
