Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,17,172,174,18,16,38,21,,0.0,0.7543859649122807,0.0,0.5151515151515151,0.8377192982456141,0.4473684210526316
"Values/outdoor_s1_1(1,4,self)",15,17,13,0,92,105,6,4,,0.14018691588785046,0.2222222222222222,0.7142857142857143,0.13934426229508196,0.1349206349206349,0.8095238095238095
"Values/outdoor_s1_2 (1,2,4,self)",63,33,84,95,84,73,105,135,,0.42857142857142855,0.4375,0.375,0.3113207547169811,0.38095238095238093,0.19642857142857142
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",43,18,114,104,10,20,19,44,,0.8113207547169812,0.8440860215053764,0.6935483870967742,0.47368421052631576,0.6559139784946236,0.2903225806451613
"Values/outdoor_s2_2(1,2,self)",56,39,0,0,0,0,39,56,,1.0,0.5894736842105263,0.5894736842105263,1.0,0.4105263157894737,0.4105263157894737
"Values/outdoor_s2_1(1,2,self)",91,93,0,0,0,0,24,22,,1.0,0.7913043478260869,0.7913043478260869,1.0,0.808695652173913,0.808695652173913
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",80,44,55,146,189,98,42,78,,0.29739776951672864,0.36885245901639346,0.6557377049180327,0.30985915492957744,0.5191256830601093,0.36065573770491804
