Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,11,172,181,18,9,38,27,,0.0,0.7543859649122807,0.0,0.55,0.8421052631578947,0.2894736842105263
"Values/outdoor_s1_1(1,4,self)",15,16,13,1,92,104,6,5,,0.14018691588785046,0.2222222222222222,0.7142857142857143,0.13333333333333333,0.1349206349206349,0.7619047619047619
"Values/outdoor_s1_2 (1,2,4,self)",63,19,84,114,84,54,105,149,,0.42857142857142855,0.4375,0.375,0.2602739726027397,0.3958333333333333,0.1130952380952381
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",43,14,114,112,10,12,19,48,,0.8113207547169812,0.8440860215053764,0.6935483870967742,0.5384615384615384,0.6774193548387096,0.22580645161290322
"Values/outdoor_s2_2(1,2,self)",56,35,0,0,0,0,39,60,,1.0,0.5894736842105263,0.5894736842105263,1.0,0.3684210526315789,0.3684210526315789
"Values/outdoor_s2_1(1,2,self)",91,91,0,0,0,0,24,24,,1.0,0.7913043478260869,0.7913043478260869,1.0,0.7913043478260869,0.7913043478260869
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",80,41,55,157,189,87,42,81,,0.29739776951672864,0.36885245901639346,0.6557377049180327,0.3203125,0.5409836065573771,0.3360655737704918
