Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",2,5,164,185,26,5,36,33,,0.07142857142857142,0.7280701754385965,0.05263157894736842,0.5,0.8333333333333334,0.13157894736842105
"Values/outdoor_s1_1(1,4,self)",15,13,12,1,93,104,6,8,,0.1388888888888889,0.21428571428571427,0.7142857142857143,0.1111111111111111,0.1111111111111111,0.6190476190476191
"Values/outdoor_s1_2 (1,2,4,self)",69,11,77,139,91,29,99,157,,0.43125,0.43452380952380953,0.4107142857142857,0.275,0.44642857142857145,0.06547619047619048
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",46,7,112,120,12,4,16,55,,0.7931034482758621,0.8494623655913979,0.7419354838709677,0.6363636363636364,0.6827956989247311,0.11290322580645161
"Values/outdoor_s2_2(1,2,self)",59,30,0,0,0,0,36,65,,1.0,0.6210526315789474,0.6210526315789474,1.0,0.3157894736842105,0.3157894736842105
"Values/outdoor_s2_1(1,2,self)",94,88,0,0,0,0,21,27,,1.0,0.8173913043478261,0.8173913043478261,1.0,0.7652173913043478,0.7652173913043478
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",87,37,49,171,195,73,35,85,,0.30851063829787234,0.37158469945355194,0.7131147540983607,0.33636363636363636,0.5683060109289617,0.30327868852459017
"Values/lab_s1_1(2,3,self)",2,5,164,185,26,5,36,33,,0.07142857142857142,0.7280701754385965,0.05263157894736842,0.5,0.8333333333333334,0.13157894736842105
"Values/outdoor_s1_1(1,4,self)",15,13,12,1,93,104,6,8,,0.1388888888888889,0.21428571428571427,0.7142857142857143,0.1111111111111111,0.1111111111111111,0.6190476190476191
"Values/outdoor_s1_2 (1,2,4,self)",69,11,77,139,91,29,99,157,,0.43125,0.43452380952380953,0.4107142857142857,0.275,0.44642857142857145,0.06547619047619048
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",46,7,112,120,12,4,16,55,,0.7931034482758621,0.8494623655913979,0.7419354838709677,0.6363636363636364,0.6827956989247311,0.11290322580645161
"Values/outdoor_s2_2(1,2,self)",59,30,0,0,0,0,36,65,,1.0,0.6210526315789474,0.6210526315789474,1.0,0.3157894736842105,0.3157894736842105
"Values/outdoor_s2_1(1,2,self)",94,88,0,0,0,0,21,27,,1.0,0.8173913043478261,0.8173913043478261,1.0,0.7652173913043478,0.7652173913043478
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",87,37,49,171,195,73,35,85,,0.30851063829787234,0.37158469945355194,0.7131147540983607,0.33636363636363636,0.5683060109289617,0.30327868852459017
