Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,0,205,225,35,15,48,48,,0.0,0.7118055555555556,0.0,0.0,0.78125,0.0
"Values/outdoor_s1_1(1,4,self)",18,16,41,57,114,98,13,15,,0.13636363636363635,0.3172043010752688,0.5806451612903226,0.14035087719298245,0.3924731182795699,0.5161290322580645
"Values/outdoor_s1_2 (1,2,4,self)",89,4,99,183,99,15,109,194,,0.4734042553191489,0.47474747474747475,0.4494949494949495,0.21052631578947367,0.4722222222222222,0.020202020202020204
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",43,7,140,152,24,12,39,75,,0.6417910447761194,0.7439024390243902,0.524390243902439,0.3684210526315789,0.6463414634146342,0.08536585365853659
"Values/outdoor_s2_2(1,2,self)",60,34,0,0,0,0,45,71,,1.0,0.5714285714285714,0.5714285714285714,1.0,0.3238095238095238,0.3238095238095238
"Values/outdoor_s2_1(1,2,self)",86,66,0,0,0,0,39,59,,1.0,0.688,0.688,1.0,0.528,0.528
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",84,25,91,241,193,43,58,117,,0.30324909747292417,0.4107981220657277,0.5915492957746479,0.36764705882352944,0.6244131455399061,0.176056338028169
"Values/lab_s1_1(2,3,self)",0,0,205,225,35,15,48,48,,0.0,0.7118055555555556,0.0,0.0,0.78125,0.0
"Values/outdoor_s1_1(1,4,self)",18,16,41,57,114,98,13,15,,0.13636363636363635,0.3172043010752688,0.5806451612903226,0.14035087719298245,0.3924731182795699,0.5161290322580645
"Values/outdoor_s1_2 (1,2,4,self)",89,4,99,183,99,15,109,194,,0.4734042553191489,0.47474747474747475,0.4494949494949495,0.21052631578947367,0.4722222222222222,0.020202020202020204
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",43,7,140,152,24,12,39,75,,0.6417910447761194,0.7439024390243902,0.524390243902439,0.3684210526315789,0.6463414634146342,0.08536585365853659
"Values/outdoor_s2_2(1,2,self)",60,34,0,0,0,0,45,71,,1.0,0.5714285714285714,0.5714285714285714,1.0,0.3238095238095238,0.3238095238095238
"Values/outdoor_s2_1(1,2,self)",86,66,0,0,0,0,39,59,,1.0,0.688,0.688,1.0,0.528,0.528
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",84,25,91,241,193,43,58,117,,0.30324909747292417,0.4107981220657277,0.5915492957746479,0.36764705882352944,0.6244131455399061,0.176056338028169
