Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,2,132,140,8,0,28,26,,0.0,0.7857142857142857,0.0,1.0,0.8452380952380952,0.07142857142857142
"Values/outdoor_s1_1(1,4,self)",11,11,0,0,55,55,0,0,,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,1.0
"Values/outdoor_s1_2 (1,2,4,self)",48,23,74,87,64,51,90,115,,0.42857142857142855,0.4420289855072464,0.34782608695652173,0.3108108108108108,0.39855072463768115,0.16666666666666666
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",29,11,84,79,0,5,13,31,,1.0,0.8968253968253969,0.6904761904761905,0.6875,0.7142857142857143,0.2619047619047619
"Values/outdoor_s2_2(1,2,self)",40,24,0,0,0,0,45,61,,1.0,0.47058823529411764,0.47058823529411764,1.0,0.2823529411764706,0.2823529411764706
"Values/outdoor_s2_1(1,2,self)",92,84,0,0,0,0,13,21,,1.0,0.8761904761904762,0.8761904761904762,1.0,0.8,0.8
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",78,25,23,146,181,58,24,77,,0.30115830115830117,0.3300653594771242,0.7647058823529411,0.30120481927710846,0.5588235294117647,0.24509803921568626
