Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y
"Values/lab_s1_1(2,3,self)",0,11,189,181,1,9,38,27
"Values/outdoor_s1_1(1,4,self)",13,16,25,1,80,104,8,5
"Values/outdoor_s1_2 (1,2,4,self)",52,19,102,114,66,54,116,149
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",30,14,123,112,1,12,32,48
"Values/outdoor_s2_2(1,2,self)",46,35,0,0,0,0,49,60
"Values/outdoor_s2_1(1,2,self)",66,91,0,0,0,0,49,24
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",59,41,89,157,155,87,63,81
