Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,17,140,140,0,0,28,11,,1,0.8333333333333334,0.0,1.0,0.9345238095238095,0.6071428571428571
"Values/outdoor_s1_1(1,4,self)",11,11,4,0,51,55,0,0,,0.1774193548387097,0.22727272727272727,1.0,0.16666666666666666,0.16666666666666666,1.0
"Values/outdoor_s1_2 (1,2,4,self)",39,33,81,67,57,71,99,105,,0.40625,0.43478260869565216,0.2826086956521739,0.3173076923076923,0.36231884057971014,0.2391304347826087
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",25,13,84,56,0,28,17,29,,1.0,0.8650793650793651,0.5952380952380952,0.3170731707317073,0.5476190476190477,0.30952380952380953
"Values/outdoor_s2_2(1,2,self)",30,29,0,0,0,0,55,56,,1.0,0.35294117647058826,0.35294117647058826,1.0,0.3411764705882353,0.3411764705882353
"Values/outdoor_s2_1(1,2,self)",76,87,0,0,0,0,29,18,,1.0,0.7238095238095238,0.7238095238095238,1.0,0.8285714285714286,0.8285714285714286
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",54,40,62,137,142,67,48,62,,0.2755102040816326,0.3790849673202614,0.5294117647058824,0.37383177570093457,0.5784313725490197,0.39215686274509803
