mean
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.98169742097371782,0.94017468502009527,0.97839282163679775,0.94623461468547732,0.96508090092623389,0.97491161752451683
2,0.98169742097371782,0.94017468502009527,1.0,1.0,0.99762300141943472,0.99846818777030943,0.99191675834666337,0.97170877102128428
3,0.97839282163679775,0.94623461468547732,0.99762300141943472,0.99846818777030943,1.0,1.0,0.99612467337325317,0.97502004725553471
4,0.96508090092623389,0.97491161752451683,0.99191675834666337,0.9717087710212845,0.99612467337325317,0.97502004725553471,1.0,1.0

median
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.98276871786403142,0.94483384438970186,0.98023446252721658,0.95144614873469391,0.96857513865642519,0.97731270684371618
2,0.98276871786403142,0.94483384438970186,1.0,1.0,0.99798138387262969,0.99857233059849571,0.99223360560630258,0.97317009667031518
3,0.98023446252721658,0.95144614873469391,0.99798138387262969,0.99857233059849571,1.0,1.0,0.99635120917687636,0.97680248711197992
4,0.96857513865642519,0.97731270684371618,0.99223360560630269,0.97317009667031518,0.99635120917687625,0.97680248711197992,1.0,1.0
