mean
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.10540998380562736,0.60219481348453885,0.46570725948487446,0.44087409374425457,-0.034342925699561599,0.21403826480769406
2,0.10540998380562736,0.60219481348453885,1.0,1.0,0.29325261453263329,0.53624132208460162,0.22218635102609915,0.32187117291964151
3,0.46570725948487446,0.44087409374425451,0.29325261453263324,0.53624132208460162,1.0,1.0,0.28270831525575441,0.48554762031087018
4,-0.034342925699561599,0.21403826480769406,0.22218635102609915,0.32187117291964157,0.28270831525575441,0.48554762031087018,1.0,1.0

median
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.12416438810408392,0.9168934078332327,0.62491184750055218,0.80912103029953131,-0.085289376216465304,0.5389775157880432
2,0.12416438810408392,0.91689340783323259,1.0,1.0,0.37481184147822999,0.86712654262152689,0.32541135814477784,0.73893494575223906
3,0.62491184750055206,0.80912103029953131,0.37481184147822999,0.867126542621527,1.0,1.0,0.41418572996005532,0.81925470137009648
4,-0.085289376216465318,0.5389775157880432,0.32541135814477784,0.73893494575223906,0.41418572996005532,0.81925470137009637,1.0,1.0
