mean
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.5537893906276502,0.40781466544583245,0.73602798061617114,0.44349484762645075,0.6385842813275191,0.31263947521492097
2,0.5537893906276502,0.40781466544583239,1.0,1.0,0.73848912725030835,0.93809799322788556,0.72749489774805498,0.92761141441294492
3,0.73602798061617114,0.44349484762645075,0.73848912725030835,0.93809799322788556,1.0,1.0,0.90240832077686028,0.90466649197690652
4,0.6385842813275191,0.31263947521492097,0.72749489774805498,0.92761141441294503,0.90240832077686028,0.90466649197690652,1.0,1.0

median
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.59168098471518071,0.5599888822145751,0.76897933576669875,0.58565344799077335,0.72966553611629625,0.50504136772066355
2,0.59168098471518071,0.5599888822145751,1.0,1.0,0.77736896041972559,0.97361013133916319,0.79488142079122603,0.9884137119035199
3,0.76897933576669875,0.58565344799077335,0.77736896041972559,0.97361013133916319,1.0,1.0,0.91284696348391026,0.97985953175419027
4,0.72966553611629625,0.50504136772066355,0.79488142079122603,0.9884137119035199,0.91284696348391026,0.97985953175419027,1.0,1.0
