mean
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.70568640655388026,-0.654944057800249,0.84447556705693461,-0.68261658810630044,0.82465767056191219,-0.27170388677479013
2,0.70568640655388026,-0.654944057800249,1.0,1.0,0.82275977479865214,0.89139978735996928,0.64311752916746801,-0.49235704505416844
3,0.84447556705693461,-0.68261658810630055,0.82275977479865225,0.89139978735996939,0.99999999999999978,1.0,0.83969994736800391,-0.36241861050007862
4,0.82465767056191208,-0.27170388677479007,0.64311752916746801,-0.49235704505416844,0.83969994736800391,-0.36241861050007856,0.99999999999999989,0.99999999999999989

median
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.70568640655388026,-0.654944057800249,0.84447556705693461,-0.68261658810630044,0.82465767056191219,-0.27170388677479013
2,0.70568640655388026,-0.654944057800249,1.0,1.0,0.82275977479865214,0.89139978735996928,0.64311752916746801,-0.49235704505416844
3,0.84447556705693461,-0.68261658810630055,0.82275977479865225,0.89139978735996939,0.99999999999999978,1.0,0.83969994736800391,-0.36241861050007862
4,0.82465767056191208,-0.27170388677479007,0.64311752916746801,-0.49235704505416844,0.83969994736800391,-0.36241861050007856,0.99999999999999989,0.99999999999999989
