Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,18,90,85,0,5,18,0,,1,0.8333333333333334,0.0,0.782608695652174,0.9537037037037037,1.0
"Values/outdoor_s1_1(1,4,self)",1,1,0,0,5,5,0,0,,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,1.0
"Values/outdoor_s1_2 (1,2,4,self)",26,49,60,33,48,75,82,59,,0.35135135135135137,0.39814814814814814,0.24074074074074073,0.3951612903225806,0.37962962962962965,0.4537037037037037
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",11,20,44,19,0,25,11,2,,1.0,0.8333333333333334,0.5,0.4444444444444444,0.5909090909090909,0.9090909090909091
"Values/outdoor_s2_2(1,2,self)",15,22,0,0,0,0,60,53,,1.0,0.2,0.2,1.0,0.29333333333333333,0.29333333333333333
"Values/outdoor_s2_1(1,2,self)",82,85,0,0,0,0,13,10,,1.0,0.8631578947368421,0.8631578947368421,1.0,0.8947368421052632,0.8947368421052632
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",64,34,21,98,143,66,18,48,,0.30917874396135264,0.34552845528455284,0.7804878048780488,0.34,0.5365853658536586,0.4146341463414634
