Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,22,186,170,4,20,38,16,,0.0,0.8157894736842105,0.0,0.5238095238095238,0.8421052631578947,0.5789473684210527
"Values/outdoor_s1_1(1,4,self)",14,19,22,0,83,105,7,2,,0.14432989690721648,0.2857142857142857,0.6666666666666666,0.1532258064516129,0.15079365079365079,0.9047619047619048
"Values/outdoor_s1_2 (1,2,4,self)",53,41,95,83,73,85,115,127,,0.42063492063492064,0.44047619047619047,0.31547619047619047,0.3253968253968254,0.36904761904761907,0.24404761904761904
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",35,20,121,88,3,36,27,42,,0.9210526315789473,0.8387096774193549,0.5645161290322581,0.35714285714285715,0.5806451612903226,0.3225806451612903
"Values/outdoor_s2_2(1,2,self)",50,45,0,0,0,0,45,50,,1.0,0.5263157894736842,0.5263157894736842,1.0,0.47368421052631576,0.47368421052631576
"Values/outdoor_s2_1(1,2,self)",71,95,0,0,0,0,44,20,,1.0,0.6173913043478261,0.6173913043478261,1.0,0.8260869565217391,0.8260869565217391
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",66,48,79,133,165,111,56,74,,0.2857142857142857,0.39617486338797814,0.5409836065573771,0.3018867924528302,0.49453551912568305,0.39344262295081966
