Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,7,75,90,15,0,18,11,,0,0.6944444444,0,1,0.8981481481,0.3888888889
"Values/outdoor_s1_1(1,4,self)",1,1,0,0,5,5,0,0,,0.1666666667,0.1666666667,1,0.1666666667,0.1666666667,1
"Values/outdoor_s1_2 (1,2,4,self)",53,37,42,44,66,64,55,71,,0.4453781513,0.4398148148,0.4907407407,0.3663366337,0.375,0.3425925926
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",11,8,44,32,0,12,11,14,,1,0.8333333333,0.5,0.4,0.6060606061,0.3636363636
"Values/outdoor_s2_2(1,2,self)",38,9,0,0,0,0,37,66,,1,0.5066666667,0.5066666667,1,0.12,0.12
"Values/outdoor_s2_1(1,2,self)",93,79,0,0,0,0,2,16,,1,0.9789473684,0.9789473684,1,0.8315789474,0.8315789474
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",75,25,5,112,159,52,7,57,,0.3205128205,0.325203252,0.9146341463,0.3246753247,0.5569105691,0.3048780488
,,,,,,,,,,,,,0.6082398036,0.5077664196,0.4787964059
