Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,10,219,209,21,31,48,38,,0.0,0.7604166666666666,0.0,0.24390243902439024,0.7604166666666666,0.20833333333333334
"Values/outdoor_s1_1(1,4,self)",16,18,47,38,108,117,15,13,,0.12903225806451613,0.3387096774193548,0.5161290322580645,0.13333333333333333,0.3010752688172043,0.5806451612903226
"Values/outdoor_s1_2 (1,2,4,self)",78,20,105,145,93,53,120,178,,0.45614035087719296,0.4621212121212121,0.3939393939393939,0.273972602739726,0.4166666666666667,0.10101010101010101
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",39,9,144,136,20,28,43,73,,0.6610169491525424,0.7439024390243902,0.47560975609756095,0.24324324324324326,0.5894308943089431,0.10975609756097561
"Values/outdoor_s2_2(1,2,self)",55,44,0,0,0,0,50,61,,1.0,0.5238095238095238,0.5238095238095238,1.0,0.41904761904761906,0.41904761904761906
"Values/outdoor_s2_1(1,2,self)",72,75,0,0,0,0,53,50,,1.0,0.576,0.576,1.0,0.6,0.6
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",81,40,108,194,176,90,61,102,,0.3151750972762646,0.44366197183098594,0.5704225352112676,0.3076923076923077,0.5492957746478874,0.28169014084507044
