Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,22,179,170,11,20,38,16,,0.0,0.7850877192982456,0.0,0.5238095238095238,0.8421052631578947,0.5789473684210527
"Values/outdoor_s1_1(1,4,self)",14,19,16,0,89,105,7,2,,0.13592233009708737,0.23809523809523808,0.6666666666666666,0.1532258064516129,0.15079365079365079,0.9047619047619048
"Values/outdoor_s1_2 (1,2,4,self)",59,41,89,83,79,85,109,127,,0.427536231884058,0.44047619047619047,0.35119047619047616,0.3253968253968254,0.36904761904761907,0.24404761904761904
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",41,20,115,88,9,36,21,42,,0.82,0.8387096774193549,0.6612903225806451,0.35714285714285715,0.5806451612903226,0.3225806451612903
"Values/outdoor_s2_2(1,2,self)",54,45,0,0,0,0,41,50,,1.0,0.5684210526315789,0.5684210526315789,1.0,0.47368421052631576,0.47368421052631576
"Values/outdoor_s2_1(1,2,self)",87,95,0,0,0,0,28,20,,1.0,0.7565217391304347,0.7565217391304347,1.0,0.8260869565217391,0.8260869565217391
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",76,48,62,133,182,111,46,74,,0.29457364341085274,0.3770491803278688,0.6229508196721312,0.3018867924528302,0.49453551912568305,0.39344262295081966
