Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y
"Values/lab_s1_1(2,3,self)",0,18,88,85,2,5,18,0
"Values/outdoor_s1_1(1,4,self)",1,1,0,0,5,5,0,0
"Values/outdoor_s1_2 (1,2,4,self)",36,49,47,33,61,75,72,59
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",11,20,44,19,0,25,11,2
"Values/outdoor_s2_2(1,2,self)",24,22,0,0,0,0,51,53
"Values/outdoor_s2_1(1,2,self)",88,85,0,0,0,0,7,10
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",71,34,9,98,155,66,11,48
