Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,21,138,138,2,2,28,7,,0.0,0.8214285714285714,0.0,0.9130434782608695,0.9464285714285714,0.75
"Values/outdoor_s1_1(1,4,self)",11,11,2,0,53,55,0,0,,0.171875,0.19696969696969696,1.0,0.16666666666666666,0.16666666666666666,1.0
"Values/outdoor_s1_2 (1,2,4,self)",41,38,78,49,60,89,97,100,,0.40594059405940597,0.4311594202898551,0.2971014492753623,0.2992125984251969,0.31521739130434784,0.2753623188405797
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",27,18,84,51,0,33,15,24,,1.0,0.8809523809523809,0.6428571428571429,0.35294117647058826,0.5476190476190477,0.42857142857142855
"Values/outdoor_s2_2(1,2,self)",34,34,0,0,0,0,51,51,,1.0,0.4,0.4,1.0,0.4,0.4
"Values/outdoor_s2_1(1,2,self)",82,91,0,0,0,0,23,14,,1.0,0.780952380952381,0.780952380952381,1.0,0.8666666666666667,0.8666666666666667
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",65,42,49,127,155,77,37,60,,0.29545454545454547,0.37254901960784315,0.6372549019607843,0.35294117647058826,0.5522875816993464,0.4117647058823529
