Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,7,230,212,10,28,48,41,,0.0,0.7986111111111112,0.0,0.2,0.7604166666666666,0.14583333333333334
"Values/outdoor_s1_1(1,4,self)",16,17,52,43,103,112,15,14,,0.13445378151260504,0.3655913978494624,0.5161290322580645,0.13178294573643412,0.3225806451612903,0.5483870967741935
"Values/outdoor_s1_2 (1,2,4,self)",70,9,115,160,83,38,128,189,,0.45751633986928103,0.4671717171717172,0.35353535353535354,0.19148936170212766,0.42676767676767674,0.045454545454545456
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",31,8,151,146,13,18,51,74,,0.7045454545454546,0.7398373983739838,0.3780487804878049,0.3076923076923077,0.6260162601626016,0.0975609756097561
"Values/outdoor_s2_2(1,2,self)",44,41,0,0,0,0,61,64,,1.0,0.41904761904761906,0.41904761904761906,1.0,0.3904761904761905,0.3904761904761905
"Values/outdoor_s2_1(1,2,self)",60,74,0,0,0,0,65,51,,1.0,0.48,0.48,1.0,0.592,0.592
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",79,36,122,207,162,77,63,106,,0.3278008298755187,0.47183098591549294,0.5563380281690141,0.3185840707964602,0.5704225352112676,0.2535211267605634
