"Outputs/outdoor_s1_1(1,4,self)ws-20_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,21.0,21.0,15.0,13.0,17.0,14.0,12.0,13.0
2,15.0,13.0,21.0,21.0,21.0,21.0,20.0,16.0
3,17.0,14.0,21.0,21.0,21.0,21.0,20.0,16.0
4,12.0,13.0,20.0,16.0,20.0,16.0,21.0,21.0
