"Outputs/outdoor_s1_1(1,4,self)ws-30_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,11.0,11.0,11.0,9.0,11.0,9.0,11.0,11.0
2,11.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0
3,11.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0
4,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
