"Outputs/outdoor_s1_1(1,4,self)ws-10_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,31.0,31.0,18.0,17.0,16.0,17.0,14.0,15.0
2,18.0,17.0,31.0,31.0,22.0,31.0,19.0,17.0
3,16.0,17.0,22.0,31.0,31.0,31.0,19.0,17.0
4,14.0,15.0,19.0,17.0,19.0,17.0,31.0,31.0
