Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y
"Values/lab_s1_1(2,3,self)",0,11,179,181,11,9,38,27
"Values/outdoor_s1_1(1,4,self)",14,16,16,1,89,104,7,5
"Values/outdoor_s1_2 (1,2,4,self)",59,19,89,114,79,54,109,149
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",41,14,115,112,9,12,21,48
"Values/outdoor_s2_2(1,2,self)",54,35,0,0,0,0,41,60
"Values/outdoor_s2_1(1,2,self)",87,91,0,0,0,0,28,24
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",76,41,62,157,182,87,46,81
