Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y
"Values/lab_s1_1(2,3,self)",0,2,121,140,19,0,28,26
"Values/outdoor_s1_1(1,4,self)",11,11,0,0,55,55,0,0
"Values/outdoor_s1_2 (1,2,4,self)",53,23,66,87,72,51,85,115
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",29,11,84,79,0,5,13,31
"Values/outdoor_s2_2(1,2,self)",46,24,0,0,0,0,39,61
"Values/outdoor_s2_1(1,2,self)",92,84,0,0,0,0,13,21
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",82,25,20,146,184,58,20,77
