Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,23,179,163,11,27,38,15,,0,0.7850877193,0,0.46,0.8157894737,0.6052631579
"Values/outdoor_s1_1(1,4,self)",14,20,16,0,89,105,7,1,,0.1359223301,0.2380952381,0.6666666667,0.16,0.1587301587,0.9523809524
"Values/outdoor_s1_2 (1,2,4,self)",59,52,89,70,79,98,109,116,,0.4275362319,0.4404761905,0.3511904762,0.3466666667,0.3630952381,0.3095238095
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",41,20,115,74,9,50,21,42,,0.82,0.8387096774,0.6612903226,0.2857142857,0.5053763441,0.3225806452
"Values/outdoor_s2_2(1,2,self)",54,47,0,0,0,0,41,48,,1,0.5684210526,0.5684210526,1,0.4947368421,0.4947368421
"Values/outdoor_s2_1(1,2,self)",87,97,0,0,0,0,28,18,,1,0.7565217391,0.7565217391,1,0.8434782609,0.8434782609
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",76,50,62,114,182,130,46,72,,0.2945736434,0.3770491803,0.6229508197,0.2777777778,0.4480874317,0.4098360656
,,,,,,,,,,0.5254331722,0.5720515425,0.5181487253,,,
