Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,18,88,79,2,11,18,0,,0,0.8148148148,0,0.6206896552,0.8981481481,1
"Values/outdoor_s1_1(1,4,self)",1,1,0,0,5,5,0,0,,0.1666666667,0.1666666667,1,0.1666666667,0.1666666667,1
"Values/outdoor_s1_2 (1,2,4,self)",36,55,47,22,61,86,72,53,,0.3711340206,0.3842592593,0.3333333333,0.390070922,0.3564814815,0.5092592593
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",11,22,44,11,0,33,11,0,,1,0.8333333333,0.5,0.4,0.5,1
"Values/outdoor_s2_2(1,2,self)",24,32,0,0,0,0,51,43,,1,0.32,0.32,1,0.4266666667,0.4266666667
"Values/outdoor_s2_1(1,2,self)",88,88,0,0,0,0,7,7,,1,0.9263157895,0.9263157895,1,0.9263157895,0.9263157895
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",71,35,9,90,155,74,11,47,,0.314159292,0.325203252,0.8658536585,0.3211009174,0.5081300813,0.4268292683
,,,,,,,,,,0.550279997,0.5386561594,0.5636432545,,,
