Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,18,90,79,0,11,18,0,,1,0.8333333333333334,0.0,0.6206896551724138,0.8981481481481481,1.0
"Values/outdoor_s1_1(1,4,self)",1,1,0,0,5,5,0,0,,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,1.0
"Values/outdoor_s1_2 (1,2,4,self)",25,55,61,22,47,86,83,53,,0.3472222222222222,0.39814814814814814,0.23148148148148148,0.3900709219858156,0.35648148148148145,0.5092592592592593
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",11,22,44,11,0,33,11,0,,1.0,0.8333333333333334,0.5,0.4,0.5,1.0
"Values/outdoor_s2_2(1,2,self)",13,32,0,0,0,0,62,43,,1.0,0.17333333333333334,0.17333333333333334,1.0,0.4266666666666667,0.4266666666666667
"Values/outdoor_s2_1(1,2,self)",81,88,0,0,0,0,14,7,,1.0,0.8526315789473684,0.8526315789473684,1.0,0.9263157894736842,0.9263157894736842
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",60,35,27,90,137,74,22,47,,0.30456852791878175,0.35365853658536583,0.7317073170731707,0.3211009174311927,0.508130081300813,0.4268292682926829
