"Outputs/outdoor_s1_2 (1,2,4,self)ws-30_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,46.0,46.0,0.0,7.0,0.0,8.0,0.0,6.0
2,0.0,7.0,46.0,46.0,0.0,24.0,10.0,26.0
3,0.0,8.0,0.0,24.0,46.0,46.0,28.0,25.0
4,0.0,6.0,10.0,26.0,28.0,25.0,46.0,46.0
