"Outputs/outdoor_s1_2 (1,2,4,self)ws-10_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,66.0,66.0,0.0,21.0,0.0,25.0,0.0,18.0
2,0.0,21.0,66.0,66.0,0.0,26.0,1.0,26.0
3,0.0,25.0,0.0,26.0,66.0,66.0,7.0,25.0
4,0.0,18.0,1.0,26.0,7.0,25.0,66.0,66.0
