"Outputs/outdoor_s1_2 (1,2,4,self)ws-40_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,36.0,36.0,0.0,0.0,4.0,0.0,4.0,0.0
2,0.0,0.0,36.0,36.0,12.0,23.0,12.0,25.0
3,4.0,0.0,12.0,23.0,36.0,36.0,23.0,24.0
4,4.0,0.0,12.0,25.0,23.0,24.0,36.0,36.0
