"Outputs/outdoor_s1_2 (1,2,4,self)ws-20_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,56.0,56.0,0.0,13.0,0.0,16.0,1.0,12.0
2,0.0,13.0,56.0,56.0,0.0,25.0,0.0,27.0
3,0.0,16.0,0.0,25.0,56.0,56.0,17.0,25.0
4,1.0,12.0,0.0,27.0,17.0,25.0,56.0,56.0
