Filename,TruePos_X,TruePos_Y,TrueNeg_X,TrueNeg_Y,FalsePos_X,FalsePos_Y,FalseNg_X,FalseNeg_Y,,Precision_X,Accuracy_X,Recall_X,Precision_Y,Accuracy_Y,Recall_Y
"Values/lab_s1_1(2,3,self)",0,27,136,137,4,3,28,1,,0.0,0.8095238095238095,0.0,0.9,0.9761904761904762,0.9642857142857143
"Values/outdoor_s1_1(1,4,self)",11,11,0,0,55,55,0,0,,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,1.0
"Values/outdoor_s1_2 (1,2,4,self)",46,44,75,43,63,95,92,94,,0.42201834862385323,0.4384057971014493,0.3333333333333333,0.31654676258992803,0.31521739130434784,0.3188405797101449
"Values/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)",28,21,84,45,0,39,14,21,,1.0,0.8888888888888888,0.6666666666666666,0.35,0.5238095238095238,0.5
"Values/outdoor_s2_2(1,2,self)",37,39,0,0,0,0,48,46,,1.0,0.43529411764705883,0.43529411764705883,1.0,0.4588235294117647,0.4588235294117647
"Values/outdoor_s2_1(1,2,self)",88,92,0,0,0,0,17,13,,1.0,0.8380952380952381,0.8380952380952381,1.0,0.8761904761904762,0.8761904761904762
"Values/lab_s1_1(1,2,3,4,self);(1,4),(2,3)",73,44,26,122,178,82,29,58,,0.2908366533864542,0.3235294117647059,0.7156862745098039,0.3492063492063492,0.5424836601307189,0.43137254901960786
