1.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999999,0.9941577784331395,0.9972493447559756,0.9887608965287088,0.9979019805618138,0.9784238292757633,0.9928572644383071
2,0.9941577784331395,0.9972493447559756,1.0,1.0,0.9973669117712612,0.9986909662069654,0.989503374830822,0.9950219128814713
3,0.9887608965287088,0.9979019805618139,0.9973669117712611,0.9986909662069654,1.0,1.0,0.9957678580347362,0.9927029253472482
4,0.9784238292757633,0.9928572644383072,0.989503374830822,0.9950219128814713,0.9957678580347362,0.9927029253472484,1.0,0.9999999999999998
20.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.8264742270845356,-0.735268444369457,0.8382696283990446,-0.8437720941545933,0.6379772964036081,-0.584486501439537
2,0.8264742270845356,-0.7352684443694569,1.0,1.0,0.9670102719899322,0.9732380207007875,0.8887220513479477,0.736194391358703
3,0.8382696283990447,-0.8437720941545932,0.9670102719899323,0.9732380207007874,1.0,1.0,0.8865296028718415,0.6982267209878465
4,0.637977296403608,-0.584486501439537,0.8887220513479477,0.736194391358703,0.8865296028718415,0.6982267209878467,0.9999999999999999,0.9999999999999998
21.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.8431819343903032,-0.7768969155574017,0.8224772550426239,-0.8928029309478319,0.49313934846168445,-0.48718697137531414
2,0.8431819343903031,-0.7768969155574016,1.0,1.0,0.9393220474414136,0.9646139087426304,0.7425555543751211,0.6939654948815613
3,0.8224772550426239,-0.8928029309478319,0.9393220474414136,0.9646139087426304,1.0,1.0,0.8073963205168632,0.6143850341610155
4,0.49313934846168445,-0.48718697137531414,0.7425555543751211,0.6939654948815615,0.8073963205168632,0.6143850341610156,0.9999999999999999,1.0
3.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.9963436561980583,0.9979573221088642,0.9917439867893831,0.9978067370355878,0.9865469704133085,0.9937721579160639
2,0.9963436561980583,0.9979573221088642,0.9999999999999998,1.0,0.9973630529364845,0.9985452456005335,0.9911757116777401,0.993920894039469
3,0.9917439867893831,0.9978067370355878,0.9973630529364846,0.9985452456005336,1.0,0.9999999999999999,0.9967211961509028,0.9906769988957159
4,0.9865469704133085,0.993772157916064,0.9911757116777401,0.9939208940394691,0.9967211961509026,0.9906769988957159,1.0,1.0
4.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.9957391584650773,0.9980963999066751,0.9912632812322126,0.9977749542587994,0.9846379739749769,0.990915579518422
2,0.9957391584650773,0.9980963999066752,1.0,1.0,0.99758276572207,0.9989199490697095,0.9907658496756048,0.9912602977189978
3,0.9912632812322127,0.9977749542587994,0.9975827657220702,0.9989199490697095,1.0,1.0,0.9963820855460703,0.9881656446676987
4,0.9846379739749768,0.9909155795184221,0.9907658496756048,0.9912602977189979,0.9963820855460703,0.9881656446676989,1.0,1.0
5.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.995588292738735,0.9972129058915231,0.9909410587383978,0.9971606903092219,0.9837977762711204,0.9890803284851825
2,0.995588292738735,0.9972129058915231,1.0,1.0,0.9974761636589803,0.9991472468455049,0.9903680240319434,0.9866414835093475
3,0.9909410587383977,0.9971606903092219,0.9974761636589804,0.999147246845505,1.0,0.9999999999999999,0.9962815171364101,0.984588608509997
4,0.9837977762711205,0.9890803284851825,0.9903680240319435,0.9866414835093474,0.9962815171364102,0.984588608509997,1.0,1.0
6.txt
-,1,-,2,-,3,-,4,-
