1.txt
-,1,-,2,-,3,-,4,-
2,-0.01193439790258609,0.9606440242961076,-0.020858697867178477,1.0,0.23060599900633577,0.9232367133809842,-0.022675795259753932,0.9906251503160922
3,-0.6738135391377246,0.9689321579658204,-0.8167763972294684,0.9232367133809843,-0.6045951541826887,1.0,-0.764032409502315,0.9520471103747988
4,0.0775340059844345,0.9891232761812351,-0.011292696529128914,0.9906251503160921,0.13290254908435362,0.9520471103747987,0.012276455417094517,1.0
15.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.5339842310119025,1.0,-0.7122933459491875,0.9209534398799605,-0.8012724474371331,0.7307677093540551,-0.8300573566392896,0.857087674801505
2,-0.1694113034992668,0.9209534398799605,-0.4907038079560668,1.0,-0.45604149136022903,0.8652048959895724,-0.599436698584958,0.9807665244934408
3,-0.768029479281721,0.7307677093540551,-0.9252408160090158,0.8652048959895724,-0.8873999691689708,1.0,-0.9782319760890369,0.9165341710264343
4,-0.18757443089289602,0.8570876748015052,0.18461738156919807,0.9807665244934408,0.4109852969724885,0.9165341710264344,0.2766150697156813,0.9999999999999999
16.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.822009653101268,1.0,-0.9010045736158252,0.9314879673645229,-0.9129626472206201,0.7924410647725737,-0.9391998674573976,0.9367589641080947
2,-0.21985889612999385,0.9314879673645229,-0.5232741659619947,1.0,-0.48361845984036733,0.8931334114390316,-0.5066607699540774,0.9925133966308948
3,0.12591791057330287,0.7924410647725738,-0.20121937744078952,0.8931334114390316,-0.29316085418199495,0.9999999999999998,-0.20533862657504326,0.9254726699052714
4,0.4456671340135348,0.9367589641080947,0.6981208282624395,0.9925133966308947,0.8161737352529921,0.9254726699052714,0.6823449663915323,1.0
17.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.7914871412523968,0.9999999999999999,-0.837010235571358,0.9739859376429326,-0.8879463376589782,0.9208054493710941,-0.9060317032081214,0.9678316224256058
2,-0.5773780177426991,0.9739859376429324,-0.7471699654489047,1.0,-0.7359142661972728,0.9518875191582893,-0.7195779134010596,0.9881071907155715
3,-0.17000850063755316,0.9208054493710942,-0.3838360774014736,0.9518875191582893,-0.4540737997308694,1.0,-0.37443193251085155,0.9630457300854609
4,0.7088635709281826,0.9678316224256057,0.8409912435206945,0.9881071907155714,0.8748571328620884,0.9630457300854609,0.8512815911514653,0.9999999999999999
18.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.7186723630651365,1.0,-0.7958265201456468,0.956389095686893,-0.8778259528113193,0.9085987631244866,-0.8429697364430214,0.9758414519138642
2,0.03853723532371131,0.9563890956868931,-0.21597417557936166,0.9999999999999999,-0.3491694420275921,0.9756722976901913,-0.12394166494398007,0.9837816259665592
3,0.05260356405266659,0.9085987631244865,-0.06405368325716333,0.9756722976901913,-0.24605757857725796,1.0,-0.06270349853806942,0.9727481274952742
4,0.5305138136230823,0.9758414519138642,0.702491281136604,0.9837816259665592,0.8296709306973643,0.9727481274952743,0.6839368720498858,0.9999999999999999
19.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.5466133744605252,1.0,-0.5233865987451642,0.9640323818150974,-0.5240982471948181,0.9417032954017224,-0.6273224459986839,0.9879365333312555
2,-0.3486780869815512,0.9640323818150975,-0.3671061382615913,0.9999999999999999,-0.26456138555261927,0.9849146968392428,-0.24048726028585393,0.9772155626717238
3,0.20980966517400773,0.9417032954017224,0.23216463937499043,0.9849146968392429,0.20374296068784986,1.0,0.3016813230911473,0.9699365871376976
4,-0.4903682792397758,0.9879365333312555,-0.3656956968815981,0.9772155626717238,-0.21871949485794373,0.9699365871376976,-0.3704676963635778,0.9999999999999999
2.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.5192202514091873,1.0,-0.19863013698630141,0.8878269947760151,-0.4866113507241898,0.9535621634040193,0.5517793106104784,-0.9697252046209093
2,-0.020568258452331702,0.8878269947760151,0.2455756174699695,1.0,0.08347838711296822,0.9511040036881889,-0.17353962769216716,-0.8583233720607442
3,0.18359091549446058,0.9535621634040193,-0.195238129825352,0.9511040036881889,0.07881104062391003,1.0,-0.29126556776420603,-0.9239364353597956
4,0.9499772374826808,-0.9697252046209092,0.8132412816777328,-0.8583233720607442,0.9305037376691292,-0.9239364353597956,-0.9785042830228936,0.9999999999999998
20.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.45195010349519066,0.9999999999999999,0.5749574533274338,0.9338496501724942,0.504242195230362,0.8760691572255196,0.47185322549784503,0.9833384150087842
2,-0.49612403100775204,0.9338496501724943,-0.605791962697164,1.0,-0.40382474734588897,0.9650791570164059,-0.38080262149849986,0.9358537668883415
3,-0.7575936413382366,0.8760691572255196,-0.9088547061202991,0.9650791570164058,-0.852072413155287,1.0,-0.764155597991417,0.9224141979094462
4,-0.6179450438565341,0.983338415008784,-0.4785257732981879,0.9358537668883415,-0.2692870362330388,0.9224141979094462,-0.5181206516684229,0.9999999999999999
21.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.1817990870464097,1.0,0.3180099858972217,0.9171411920462225,0.15724272550828775,0.8562679097074309,0.1846847457552491,0.965001260962565
2,-0.298171803953439,0.9171411920462224,-0.461046193049716,1.0,0.03554342702865107,0.8690481892534815,-0.06928137638750369,0.8306879364867104
3,-0.5252626970392062,0.8562679097074309,-0.8174238913695991,0.8690481892534816,-0.6821910402406465,1.0,-0.418446264488753,0.8909821249396576
4,-0.779951710572309,0.965001260962565,-0.9542262758632176,0.8306879364867104,-0.7297563831157798,0.8909821249396574,-0.6565125132363567,1.0
22.txt
-,1,-,2,-,3,-,4,-
