1.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.9999999999999998,0.9999999999999998,0.13464002882735396,0.362581619925851,0.3421801950921412,-0.026694152194748657,0.4361753721067078,-0.427294996500553
2,0.13464002882735399,0.362581619925851,1.0,1.0,0.625023472682205,-0.11807390041311405,0.11279698949122602,-0.23453434570283677
3,0.34218019509214126,-0.026694152194748653,0.6250234726822049,-0.11807390041311405,1.0,1.0,0.6024324111463932,0.7426201598421398
4,0.4361753721067078,-0.4272949965005531,0.11279698949122602,-0.23453434570283674,0.6024324111463931,0.7426201598421399,1.0,0.9999999999999998
