1.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,1.0,0.3973967047223648,0.4525524596055768
2,0.3973967047223649,0.4525524596055768,1.0,1.0
10.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,1.0,0.46383492927039277,0.557978287529882
2,0.46383492927039277,0.557978287529882,1.0,1.0
11.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,0.9999999999999999,0.4732026877148781,0.5744624228383972
2,0.4732026877148781,0.5744624228383972,1.0,1.0
12.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,1.0,0.4756982285402965,0.5884112632841955
2,0.4756982285402965,0.5884112632841955,1.0,1.0
13.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0.9999999999999999,1.0,0.482825181667926,0.6047980467908091
2,0.482825181667926,0.6047980467908091,1.0,1.0
14.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0.9999999999999999,0.9999999999999999,0.49231538176834333,0.6259785211776828
2,0.4923153817683434,0.6259785211776828,1.0,0.9999999999999999
15.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,1.0,0.4941076667776915,0.6485943090821462
2,0.4941076667776916,0.6485943090821462,1.0,1.0
16.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,0.9999999999999999,0.4907756591412931,0.6719218415353102
2,0.4907756591412932,0.6719218415353101,1.0,1.0
17.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,1.0,0.492358075560428,0.6996954326431445
2,0.49235807556042793,0.6996954326431445,1.0,1.0
18.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,0.9999999999999999,0.4903873490061126,0.7325965035587161
2,0.49038734900611264,0.7325965035587162,0.9999999999999998,1.0
19.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,1.0,0.4920180611781797,0.7682055618995564
2,0.49201806117817976,0.7682055618995565,0.9999999999999998,0.9999999999999999
2.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,0.9999999999999998,0.4110536414881947,0.46473019275200045
2,0.4110536414881947,0.46473019275200045,1.0,1.0
20.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0.9999999999999999,1.0,0.48600969867909,0.8101677471142846
2,0.48600969867909,0.8101677471142847,0.9999999999999998,1.0
21.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,1.0,0.498127973556239,0.8499111493057415
2,0.498127973556239,0.8499111493057414,1.0,1.0
22.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,1.0,0.5205828436211933,0.8744363839885431
2,0.5205828436211932,0.8744363839885431,0.9999999999999998,1.0
23.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,0.9999999999999999,0.5540938861209866,0.8874758873384553
2,0.5540938861209866,0.8874758873384553,1.0,0.9999999999999999
24.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,1.0,0.5906606999080878,0.891512136278059
2,0.5906606999080877,0.891512136278059,1.0,1.0
25.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,1.0,0.6358836609262897,0.8933676280333108
2,0.6358836609262898,0.8933676280333108,1.0,1.0
26.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,1.0,0.6791317646645646,0.8876025243372205
2,0.6791317646645646,0.8876025243372205,1.0,1.0
27.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,1.0,0.7118369303236234,0.8746833765638857
2,0.7118369303236234,0.8746833765638858,0.9999999999999998,0.9999999999999998
28.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1.0,1.0,0.7398796134702967,0.8587800894591234
2,0.7398796134702967,0.8587800894591234,0.9999999999999998,0.9999999999999998
29.txt
-,1,-,2,-
Object,YY,XX,YY,XX
