1.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.4032310240013445,0.969623853464653,0.6858988252998836,0.9872441582356748,0.6878568905642624,0.9607604518959991
2,0.40323102400134453,0.969623853464653,1.0,1.0,0.6996630204119162,0.9840510573746685,0.732286356454107,0.9944688422525138
3,0.6858988252998834,0.9872441582356749,0.6996630204119161,0.9840510573746685,0.9999999999999999,1.0,0.7700491781019566,0.9841521147898888
4,0.6878568905642622,0.9607604518959991,0.732286356454107,0.9944688422525138,0.7700491781019567,0.9841521147898888,0.9999999999999999,1.0
14.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.39994485899578724,0.9745152743907308,0.6270788504957485,0.9911552123565015,0.6383734405437202,0.971337034210457
2,0.39994485899578724,0.9745152743907307,1.0,1.0,0.7583645287454316,0.9842159184822401,0.7695447626947224,0.9944129149267855
3,0.6270788504957485,0.9911552123565015,0.7583645287454316,0.9842159184822402,1.0,1.0,0.738204985602855,0.9860886797296325
4,0.6383734405437202,0.9713370342104569,0.7695447626947225,0.9944129149267855,0.7382049856028551,0.9860886797296325,1.0,0.9999999999999999
15.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999998,0.24488408869802888,0.9802134609437259,0.45355223377038784,0.992449419769006,0.3841100842037699,0.9746309822484059
2,0.2448840886980289,0.980213460943726,1.0,0.9999999999999999,0.7822827640134903,0.9857022647710958,0.8251398074976364,0.9945628599802582
3,0.4535522337703878,0.9924494197690058,0.7822827640134903,0.9857022647710958,1.0,1.0,0.72776220131077,0.9866563651500853
4,0.38411008420376996,0.9746309822484059,0.8251398074976364,0.9945628599802582,0.7277622013107701,0.9866563651500853,1.0,1.0
16.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999998,0.12439292612493212,0.9817624358535095,0.3288618228395705,0.9932825273748775,0.2637508013502585,0.9792254368917683
2,0.12439292612493212,0.9817624358535094,1.0,1.0,0.7802775514862659,0.9848242217791272,0.8104610450529115,0.9941718637263462
3,0.32886182283957055,0.9932825273748775,0.7802775514862658,0.9848242217791272,1.0,0.9999999999999999,0.6826825002291417,0.9877820193683046
4,0.26375080135025847,0.9792254368917683,0.8104610450529115,0.9941718637263462,0.6826825002291417,0.9877820193683045,0.9999999999999998,0.9999999999999999
17.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.9999999999999999,1.0,0.1207567016605671,0.9781356840037915,0.2928846329248916,0.9922150244637158,0.30917692093091514,0.9838078731042179
2,0.12075670166056708,0.9781356840037915,1.0,1.0,0.793709904365781,0.9828776880409585,0.8351772832087421,0.9938753833324452
3,0.2928846329248916,0.9922150244637158,0.793709904365781,0.9828776880409584,1.0,1.0,0.7283449035198325,0.9908381293148781
4,0.30917692093091514,0.9838078731042178,0.8351772832087421,0.9938753833324452,0.7283449035198325,0.9908381293148781,1.0,1.0
18.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.9999999999999998,1.0,0.16885502209856418,0.9756862625457181,0.4503080283434334,0.9908069507315448,0.36903588167744544,0.9838361042901423
2,0.16885502209856418,0.9756862625457181,0.9999999999999999,0.9999999999999999,0.7829980500179483,0.9815406564561693,0.8329832532130601,0.9918844859556991
3,0.4503080283434335,0.9908069507315448,0.7829980500179483,0.9815406564561693,1.0,1.0,0.7729921195978948,0.9910381661555914
4,0.3690358816774454,0.9838361042901423,0.8329832532130602,0.9918844859556992,0.7729921195978947,0.9910381661555913,1.0,1.0
19.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.1490099444861254,0.9749448174892227,0.49930314759870975,0.9899308385647421,0.3876751195134557,0.9895060780122816
2,0.1490099444861254,0.9749448174892228,0.9999999999999999,1.0,0.7551892291698,0.9770177642510715,0.8262581178247291,0.9895535399999068
3,0.49930314759870986,0.9899308385647422,0.7551892291698,0.9770177642510715,0.9999999999999998,0.9999999999999999,0.8009239078913887,0.992376291016923
4,0.38767511951345573,0.9895060780122816,0.8262581178247291,0.9895535399999068,0.8009239078913887,0.9923762910169232,1.0,1.0
2.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999998,0.7933325635088729,0.7064905036254758,0.6760847477871335,0.7518900073545073,0.4816641711070463,0.662248627978896
2,0.7933325635088729,0.7064905036254758,0.9999999999999999,1.0,0.7405997375691168,0.985083181170451,0.6247954973584109,0.9948221653363919
3,0.6760847477871335,0.7518900073545073,0.7405997375691167,0.9850831811704511,1.0,1.0,0.8772891774833363,0.9854975125272912
4,0.4816641711070463,0.662248627978896,0.6247954973584109,0.9948221653363919,0.8772891774833362,0.9854975125272912,1.0,1.0
20.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.1260408517176331,0.9713932581148468,0.5606327811175507,0.9867249221363719,0.4596732573145734,0.988405759519759
2,0.1260408517176331,0.9713932581148468,1.0,0.9999999999999999,0.714190018720628,0.9749873801840835,0.759821726349834,0.9859237364912141
3,0.5606327811175507,0.9867249221363719,0.7141900187206279,0.9749873801840835,0.9999999999999998,0.9999999999999998,0.8368536684550592,0.9938360416630811
4,0.4596732573145734,0.9884057595197588,0.759821726349834,0.985923736491214,0.836853668455059,0.9938360416630813,1.0,1.0
21.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.9999999999999998,1.0,0.09165976074275764,0.965025167823906,0.5708340849648436,0.982168263724308,0.45633270063337306,0.9843077061673375
2,0.09165976074275763,0.9650251678239059,1.0,1.0,0.6818530206336768,0.9716015033679167,0.7435872331831808,0.9843725364366362
3,0.5708340849648436,0.9821682637243081,0.6818530206336768,0.9716015033679168,1.0,0.9999999999999998,0.8136840114940853,0.9915771787841892
4,0.45633270063337306,0.9843077061673374,0.7435872331831808,0.9843725364366361,0.8136840114940852,0.9915771787841894,1.0,1.0
22.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.08511126483689371,0.9404743435356577,0.5295151049401532,0.971549933490199,0.42180108701970953,0.9636277412690162
2,0.08511126483689371,0.9404743435356578,1.0,1.0,0.6805981453530238,0.9631507087815872,0.7401853916022204,0.981471499823063
3,0.5295151049401532,0.971549933490199,0.6805981453530238,0.9631507087815873,1.0,0.9999999999999999,0.8303089542579938,0.984945340753814
4,0.4218010870197095,0.9636277412690163,0.7401853916022204,0.9814714998230629,0.8303089542579937,0.984945340753814,1.0,0.9999999999999998
23.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.1463650408808575,0.7963050900878328,0.6111262626377983,0.8828012548315054,0.49027945215112295,0.8312896658272589
2,0.14636504088085753,0.7963050900878327,1.0,1.0,0.6143227459383688,0.9431849125722926,0.723143559092659,0.9761160035645415
3,0.6111262626377983,0.8828012548315053,0.6143227459383688,0.9431849125722926,1.0,1.0,0.851259760302411,0.9739731719822161
4,0.490279452151123,0.8312896658272589,0.723143559092659,0.9761160035645416,0.851259760302411,0.9739731719822161,1.0,0.9999999999999999
24.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999999,0.25754375382463784,0.45718041989258096,0.6264420479006603,0.6037309621749893,0.5464874225914284,0.4719561636887917
2,0.25754375382463784,0.45718041989258096,1.0,0.9999999999999999,0.5866972845372259,0.9167303311539705,0.6220465876574685,0.9687832976548888
3,0.6264420479006603,0.6037309621749893,0.5866972845372259,0.9167303311539705,1.0,1.0,0.8820247832166176,0.9535953971383242
4,0.5464874225914284,0.47195616368879173,0.6220465876574685,0.9687832976548888,0.8820247832166175,0.9535953971383242,1.0,1.0
25.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999998,0.3255461462766193,0.105899361021128,0.6922781444272534,0.29549995881256413,0.6269432741499114,0.04676808683614212
2,0.3255461462766193,0.10589936102112801,1.0,1.0,0.5600161288915364,0.8919509275427604,0.6218374884561303,0.9573999642393395
3,0.6922781444272534,0.29549995881256413,0.5600161288915364,0.8919509275427604,1.0,1.0,0.8919000364841152,0.9141782914313841
4,0.6269432741499114,0.04676808683614212,0.6218374884561303,0.9573999642393396,0.8919000364841152,0.914178291431384,0.9999999999999999,1.0
26.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.44843757964209674,-0.15753009832817214,0.7257195734510634,0.16219447135378237,0.6538700748658771,-0.24207813706279246
2,0.4484375796420967,-0.15753009832817214,1.0,1.0,0.5437735242383716,0.7995091055443958,0.6542597850995293,0.9331369172112369
3,0.7257195734510635,0.16219447135378237,0.5437735242383716,0.7995091055443958,0.9999999999999999,1.0,0.8912646955106869,0.8289512618972548
4,0.6538700748658772,-0.24207813706279244,0.6542597850995293,0.9331369172112369,0.8912646955106869,0.8289512618972548,1.0,1.0
27.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.43552405697232527,-0.30568798595364083,0.7113177385475136,0.13011370308656753,0.6445893504936185,-0.45143574273680737
2,0.4355240569723252,-0.30568798595364083,1.0,0.9999999999999999,0.5659087916631986,0.6086477747786806,0.6696588815074574,0.8806728044626037
3,0.7113177385475137,0.13011370308656756,0.5659087916631987,0.6086477747786806,0.9999999999999999,1.0,0.8978778328085463,0.6447719777376124
4,0.6445893504936185,-0.4514357427368073,0.6696588815074574,0.8806728044626037,0.8978778328085463,0.6447719777376124,1.0,0.9999999999999999
28.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.9999999999999999,1.0,0.44902963922160977,-0.3843126809519825,0.7144614303624803,0.34681593095059515,0.6482656616174339,-0.6307905605736319
2,0.44902963922160977,-0.3843126809519825,0.9999999999999998,1.0,0.5630211206574943,0.19617397511888532,0.6234478930663376,0.7289259000986369
3,0.7144614303624803,0.3468159309505951,0.5630211206574943,0.19617397511888532,0.9999999999999999,1.0,0.9022400858996419,0.19539411282439395
4,0.6482656616174339,-0.630790560573632,0.6234478930663376,0.7289259000986369,0.9022400858996419,0.19539411282439395,0.9999999999999999,1.0
29.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.4082306258134596,-0.325816957546811,0.7006280516865744,0.44478285021941705,0.5951529708188616,-0.7144305439164613
2,0.4082306258134596,-0.32581695754681095,0.9999999999999999,1.0,0.49733915324591416,-0.1749456898527796,0.46459497662234694,0.4578114161110251
3,0.7006280516865744,0.4447828502194171,0.49733915324591416,-0.1749456898527796,1.0,1.0,0.8737425030790891,-0.19001006179866778
4,0.5951529708188616,-0.7144305439164613,0.4645949766223469,0.457811416111025,0.8737425030790892,-0.19001006179866778,1.0,1.0
3.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.9999999999999999,1.0,0.7109049685424066,0.6149302362793939,0.7113350485122141,0.6851097261822479,0.7117782779113201,0.563363924985219
2,0.7109049685424066,0.6149302362793939,1.0,1.0,0.7454006807674788,0.9870296605976389,0.7262555995112214,0.9958833283617741
3,0.7113350485122141,0.6851097261822479,0.7454006807674788,0.987029660597639,1.0,1.0,0.9103356251321395,0.9819946107710559
4,0.7117782779113201,0.563363924985219,0.7262555995112213,0.9958833283617742,0.9103356251321395,0.9819946107710559,1.0,1.0
30.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.34758570491530977,-0.17371184666243886,0.6804552979477965,0.511299709977085,0.5483573324908545,-0.5654753799091055
2,0.3475857049153098,-0.17371184666243886,1.0,1.0,0.3966388393435446,-0.10880944118651933,0.34092145989912925,0.4358889254084655
3,0.6804552979477965,0.511299709977085,0.3966388393435446,-0.10880944118651933,0.9999999999999999,1.0,0.841042293652496,-0.1486938993737034
4,0.5483573324908545,-0.5654753799091056,0.34092145989912925,0.4358889254084656,0.8410422936524959,-0.14869389937370336,1.0,0.9999999999999998
31.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.13459916271659642,-0.008782543736908168,0.6173791405451199,0.4137459292593555,0.47025772397383686,-0.5079926823204419
2,0.13459916271659642,-0.008782543736908168,0.9999999999999999,1.0,0.2927563261203121,-0.32023174154318473,0.2888226693155307,0.4333419411208145
3,0.6173791405451199,0.4137459292593555,0.2927563261203121,-0.3202317415431847,1.0,1.0,0.8279782253418116,-0.20673116172566108
4,0.47025772397383686,-0.5079926823204419,0.2888226693155307,0.4333419411208145,0.8279782253418116,-0.20673116172566106,1.0,0.9999999999999998
32.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999999,0.1486515399675632,0.15159849125991756,0.6179310423116487,0.38760819112377326,0.44851405081586754,-0.49247991827135795
2,0.1486515399675632,0.15159849125991756,1.0,1.0,0.2928458850197388,-0.28836818168795997,0.24780029564734388,0.23069164520221308
3,0.6179310423116489,0.3876081911237733,0.2928458850197388,-0.28836818168795997,1.0,0.9999999999999998,0.8039001987168066,-0.1688251476354889
4,0.44851405081586754,-0.4924799182713579,0.2478002956473439,0.23069164520221308,0.8039001987168065,-0.1688251476354889,0.9999999999999999,0.9999999999999998
33.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.1439543040248637,0.3009816557271081,0.5747751645295465,0.32372058959834993,0.41224171287716316,-0.5377755059522751
2,0.1439543040248637,0.30098165572710817,1.0,1.0,0.3299585984278126,-0.2589188737810528,0.23989450723774106,0.19714640276591144
3,0.5747751645295465,0.32372058959835,0.3299585984278126,-0.2589188737810529,0.9999999999999998,1.0,0.7974480321310922,-0.164420318411855
4,0.41224171287716316,-0.5377755059522751,0.23989450723774103,0.19714640276591147,0.7974480321310922,-0.164420318411855,0.9999999999999999,1.0
34.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999999,0.1772184946557062,0.3698003992583195,0.5484953198314618,0.2450648553585427,0.3827942053988228,-0.5017934009240831
2,0.1772184946557062,0.3698003992583195,0.9999999999999998,1.0,0.3059973378181921,-0.28911840360733615,0.28319059535330876,0.13838191243181183
3,0.5484953198314617,0.24506485535854267,0.3059973378181921,-0.28911840360733615,1.0,1.0,0.7671350174495986,-0.08501449502635085
4,0.3827942053988228,-0.5017934009240831,0.28319059535330876,0.13838191243181183,0.7671350174495984,-0.08501449502635085,1.0,1.0
35.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.2896137752869236,0.48010660789103826,0.4040084633328483,0.15081970233666356,0.31501005440249175,-0.4443313373502754
2,0.2896137752869236,0.48010660789103826,1.0,0.9999999999999998,0.3906688462412603,-0.24601169196370143,0.3185239341345467,0.27075077746335513
3,0.4040084633328483,0.15081970233666356,0.39066884624126025,-0.2460116919637014,1.0,1.0,0.7615540254492638,-0.1104816450222176
4,0.3150100544024918,-0.44433133735027536,0.3185239341345467,0.27075077746335513,0.7615540254492636,-0.11048164502221759,1.0,1.0
36.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.32442401247344177,0.48373810897930414,0.3322097284253854,0.11868878819030336,0.17476419901843224,-0.39148825071997484
