1.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
2,0.5372840683814654,-0.321951510551367,1.0,1.0,0.7650706609832212,-0.0727594841851663,0.4321585591403349,-0.027703062248696845
3,0.40408054787902475,0.26476556344010954,0.7650706609832212,-0.0727594841851663,1.0,1.0,0.661838116662087,0.42980819394267
4,0.34559962919343123,-0.41087405698767643,0.4321585591403349,-0.027703062248696845,0.661838116662087,0.42980819394267006,1.0,1.0
15.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.5496300149428549,-0.26016698865760346,0.40707009794826177,0.20948509095355577,0.37170019384399755,-0.3958080571474502
2,0.549630014942855,-0.26016698865760346,1.0,1.0,0.7724515357251702,-0.20109483256423671,0.43993066221078714,-0.28338156595967867
3,0.40707009794826177,0.20948509095355577,0.7724515357251701,-0.20109483256423671,0.9999999999999998,1.0,0.6710066331025897,0.4922268412983382
4,0.37170019384399755,-0.39580805714745027,0.43993066221078714,-0.2833815659596787,0.6710066331025898,0.4922268412983382,1.0,0.9999999999999999
16.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999998,0.6075645640108333,-0.2204534102389144,0.41516932164335396,0.1348466812022448,0.39805872927578967,-0.4232084639936238
2,0.6075645640108333,-0.22045341023891443,1.0,1.0,0.7890701246162706,-0.26560757748011166,0.4524961561015445,-0.3535319303015327
3,0.41516932164335396,0.1348466812022448,0.7890701246162707,-0.26560757748011166,1.0,1.0,0.6760518972605808,0.5516833487196872
4,0.39805872927578967,-0.4232084639936238,0.4524961561015445,-0.3535319303015327,0.6760518972605808,0.5516833487196872,1.0,1.0
17.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.9999999999999998,0.9999999999999998,0.6174534629452735,-0.20075852796292673,0.4341256983376559,0.06954853117943983,0.45900611061206537,-0.42454480483874946
2,0.6174534629452735,-0.20075852796292673,1.0,1.0,0.8002793672697815,-0.324752153973263,0.5181019150639555,-0.38779862998621356
3,0.4341256983376559,0.06954853117943983,0.8002793672697815,-0.324752153973263,1.0,1.0,0.7033868032401077,0.6360360102565675
4,0.4590061106120653,-0.4245448048387494,0.5181019150639555,-0.38779862998621356,0.7033868032401078,0.6360360102565675,1.0,1.0
18.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999998,0.6369748753776149,-0.1737457676375103,0.4507528231661496,0.008252728888563496,0.4678489648007762,-0.4312300972450471
2,0.6369748753776149,-0.1737457676375103,1.0,1.0,0.8027170117428695,-0.3562025374334156,0.5184118662109185,-0.4154087448585647
3,0.4507528231661497,0.008252728888563496,0.8027170117428695,-0.3562025374334156,1.0,0.9999999999999999,0.7039534823009259,0.6977848988921938
4,0.46784896480077626,-0.4312300972450471,0.5184118662109185,-0.4154087448585647,0.7039534823009259,0.6977848988921938,1.0,1.0
2.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,-0.17122825609666686,0.13444332354948468,-0.324408724700259,0.300097187961448,-0.18363035449867873,-0.18448733877150214
