"Outputs/lab_s1_1(2,3,self)ws-40_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0
