"Outputs/lab_s1_1(2,3,self)ws-30_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0
