"Outputs/lab_s1_1(2,3,self)ws-10_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,48.0,48.0,6.0,2.0,0.0,0.0,0.0,0.0
2,6.0,2.0,48.0,48.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,48.0,48.0,2.0,6.0
4,0.0,0.0,0.0,0.0,2.0,6.0,48.0,48.0
