"Outputs/lab_s1_1(2,3,self)ws-20_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,38.0,38.0,1.0,1.0
4,0.0,0.0,0.0,0.0,1.0,1.0,38.0,38.0
