"Outputs/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)ws-40_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,11.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0
2,0.0,0.0,11.0,11.0,1.0,11.0,0.0,0.0
3,2.0,0.0,1.0,11.0,11.0,11.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0
