"Outputs/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)ws-10_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,41.0,41.0,1.0,0.0,0.0,0.0,0.0,5.0
2,1.0,0.0,41.0,41.0,6.0,22.0,0.0,6.0
3,0.0,0.0,6.0,22.0,41.0,41.0,6.0,5.0
4,0.0,5.0,0.0,6.0,6.0,5.0,41.0,41.0
