"Outputs/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)ws-30_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,21.0,21.0,0.0,0.0,1.0,0.0,0.0,5.0
2,0.0,0.0,21.0,21.0,6.0,20.0,0.0,0.0
3,1.0,0.0,6.0,20.0,21.0,21.0,0.0,0.0
4,0.0,5.0,0.0,0.0,0.0,0.0,21.0,21.0
