"Outputs/lab_s1_1(1,4),(2,3);(1,4),(2,3,self)ws-20_tab.csv"
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,31.0,31.0,0.0,0.0,2.0,0.0,0.0,9.0
2,0.0,0.0,31.0,31.0,3.0,21.0,0.0,0.0
3,2.0,0.0,3.0,21.0,31.0,31.0,0.0,1.0
4,0.0,9.0,0.0,0.0,0.0,1.0,31.0,31.0
